epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.968,1.92712,3.15344,1.50667,0.98497,0.60123,0.96392,0.49846,1.5391,2.17002,1.21393,0.0670284,0.000333047,0.000333047
2,629.069,1.58062,1.76216,1.26294,1,0.99662,0.995,0.5828,1.47104,0.86088,1.18385,0.0340152,0.000653186,0.000653186
3,853.317,1.48436,1.24861,1.20045,0.99919,1,0.995,0.55723,1.54208,0.74774,1.19104,0.000988786,0.000960125,0.000960125
4,1110.14,1.41916,1.12377,1.19266,0.99075,0.99083,0.995,0.56238,1.53915,0.75624,1.19379,0.0009406,0.0009406,0.0009406
5,1368.55,1.39644,1.04023,1.17382,0.99828,1,0.995,0.58553,1.4337,0.7614,1.14587,0.0009208,0.0009208,0.0009208
6,1626.45,1.36007,1.00406,1.15826,1,0.99916,0.995,0.56844,1.48246,0.73962,1.17377,0.000901,0.000901,0.000901
7,1884.59,1.32058,0.97348,1.13654,0.99898,1,0.995,0.59166,1.42434,0.6949,1.17962,0.0008812,0.0008812,0.0008812
8,2142.19,1.33194,0.95035,1.14566,1,0.99784,0.995,0.59136,1.43403,0.75811,1.1605,0.0008614,0.0008614,0.0008614
9,2400.96,1.29265,0.88894,1.1285,0.99916,1,0.995,0.58256,1.47981,0.66187,1.17832,0.0008416,0.0008416,0.0008416
10,2656.14,1.27357,0.89969,1.14806,0.99902,1,0.995,0.55859,1.52918,0.71363,1.19305,0.0008218,0.0008218,0.0008218
11,2908.42,1.27171,0.88171,1.14087,0.99908,1,0.995,0.56652,1.52374,0.65906,1.20709,0.000802,0.000802,0.000802
12,3160.37,1.23685,0.81728,1.12299,0.99932,1,0.995,0.55402,1.53067,0.63452,1.20081,0.0007822,0.0007822,0.0007822
13,3413.66,1.26825,0.82469,1.14333,0.99918,1,0.995,0.56283,1.53073,0.63109,1.21271,0.0007624,0.0007624,0.0007624
14,3667.02,1.24192,0.8193,1.12834,0.99919,1,0.995,0.57211,1.52653,0.64165,1.2032,0.0007426,0.0007426,0.0007426
15,3920.38,1.23748,0.81734,1.12013,0.99901,1,0.995,0.56647,1.50276,0.64256,1.1966,0.0007228,0.0007228,0.0007228
16,4176.59,1.26034,0.79824,1.14168,0.99274,1,0.995,0.5761,1.47669,0.57856,1.17269,0.000703,0.000703,0.000703
17,4464.79,1.22136,0.77556,1.11358,0.99917,1,0.995,0.5889,1.42953,0.58034,1.17305,0.0006832,0.0006832,0.0006832
18,4748.95,1.23274,0.79867,1.12428,0.99933,1,0.995,0.57289,1.48495,0.58898,1.18305,0.0006634,0.0006634,0.0006634
19,5036.54,1.21177,0.79345,1.10477,0.99927,1,0.995,0.5721,1.47545,0.57425,1.18403,0.0006436,0.0006436,0.0006436
20,5323.45,1.23767,0.80819,1.12276,0.99,1,0.995,0.58962,1.45203,0.56559,1.1722,0.0006238,0.0006238,0.0006238
21,5625.47,1.22637,0.77119,1.12301,0.99906,1,0.995,0.58841,1.4467,0.55721,1.17929,0.000604,0.000604,0.000604
22,5885.02,1.21439,0.74657,1.11461,0.99932,1,0.995,0.58865,1.44516,0.53848,1.159,0.0005842,0.0005842,0.0005842
23,6137.51,1.19447,0.75696,1.09685,0.99602,1,0.995,0.58771,1.45362,0.55069,1.16119,0.0005644,0.0005644,0.0005644
24,6391.76,1.1588,0.74065,1.08375,0.99915,1,0.995,0.58349,1.45287,0.5544,1.17136,0.0005446,0.0005446,0.0005446
25,6644.79,1.20392,0.74507,1.09162,0.99925,1,0.995,0.59521,1.43737,0.55131,1.1555,0.0005248,0.0005248,0.0005248
26,6898.7,1.18803,0.76179,1.09341,0.99943,1,0.995,0.58486,1.46901,0.56254,1.16256,0.000505,0.000505,0.000505
27,7151.95,1.18092,0.72633,1.10304,0.99916,1,0.995,0.59737,1.45044,0.54674,1.17396,0.0004852,0.0004852,0.0004852
28,7405.03,1.20304,0.70976,1.12157,0.999,1,0.995,0.5766,1.52248,0.55997,1.20703,0.0004654,0.0004654,0.0004654
29,7658.4,1.17402,0.69606,1.09987,0.99942,1,0.995,0.58998,1.46557,0.56239,1.17671,0.0004456,0.0004456,0.0004456
30,7910.9,1.18467,0.70979,1.1067,0.99919,1,0.995,0.60507,1.44879,0.53207,1.16476,0.0004258,0.0004258,0.0004258
31,8165.03,1.14833,0.70139,1.08666,0.99927,1,0.995,0.57596,1.49645,0.54756,1.17873,0.000406,0.000406,0.000406
32,8418.02,1.17251,0.69499,1.10021,0.99937,1,0.995,0.58855,1.46115,0.54001,1.17382,0.0003862,0.0003862,0.0003862
33,8672.67,1.18402,0.69031,1.10042,0.99909,1,0.995,0.59567,1.47641,0.54101,1.17517,0.0003664,0.0003664,0.0003664
34,8924.84,1.17119,0.68832,1.10229,0.99921,1,0.995,0.58156,1.50238,0.53723,1.17551,0.0003466,0.0003466,0.0003466
35,9177.53,1.15061,0.69917,1.08789,0.99931,1,0.995,0.57578,1.51615,0.53957,1.19343,0.0003268,0.0003268,0.0003268
36,9429.75,1.15019,0.68683,1.08434,0.99929,1,0.995,0.58948,1.49013,0.53993,1.1893,0.000307,0.000307,0.000307
37,9683.6,1.14603,0.72048,1.08089,0.99925,1,0.995,0.59195,1.48668,0.52609,1.18529,0.0002872,0.0002872,0.0002872
38,9939.88,1.1716,0.67804,1.09403,0.99924,1,0.995,0.5844,1.49695,0.53158,1.18542,0.0002674,0.0002674,0.0002674
39,10192.3,1.14615,0.6956,1.08218,0.99892,1,0.995,0.59778,1.48431,0.53003,1.17696,0.0002476,0.0002476,0.0002476
40,10444.7,1.15143,0.67915,1.09509,0.99906,1,0.995,0.57956,1.49321,0.53212,1.18457,0.0002278,0.0002278,0.0002278
41,10696.7,1.17302,0.59048,1.11672,0.99752,1,0.995,0.58065,1.49737,0.54134,1.18592,0.000208,0.000208,0.000208
42,10946.9,1.17086,0.5803,1.12241,0.9991,1,0.995,0.5927,1.47999,0.53355,1.17504,0.0001882,0.0001882,0.0001882
43,11213.5,1.16495,0.57477,1.1122,0.99926,1,0.995,0.59524,1.47794,0.53986,1.17693,0.0001684,0.0001684,0.0001684
44,11479.8,1.15218,0.56229,1.11399,0.99921,1,0.995,0.59588,1.47407,0.5325,1.17332,0.0001486,0.0001486,0.0001486
45,11731.6,1.15422,0.55941,1.10657,0.99919,1,0.995,0.58948,1.48361,0.53223,1.17673,0.0001288,0.0001288,0.0001288
46,11982.9,1.14864,0.55677,1.10312,0.99921,1,0.995,0.59354,1.48441,0.53108,1.17978,0.000109,0.000109,0.000109
47,12235.4,1.14204,0.55359,1.11065,0.99917,1,0.995,0.58504,1.49044,0.52892,1.18321,8.92e-05,8.92e-05,8.92e-05
48,12486.5,1.15765,0.55758,1.11146,0.9992,1,0.995,0.58912,1.47675,0.52499,1.17973,6.94e-05,6.94e-05,6.94e-05
49,12737.8,1.13604,0.55207,1.10259,0.99918,1,0.995,0.59253,1.48368,0.53064,1.18112,4.96e-05,4.96e-05,4.96e-05
50,12988.7,1.13588,0.55315,1.10346,0.99916,1,0.995,0.58843,1.4884,0.53321,1.18409,2.98e-05,2.98e-05,2.98e-05
